shortlist_run_id	core_audit_run_id	parse_run_id	source_run_id	table_name	field_name	source_position	alternate_column_name	probable_field_group	missing_like_fraction	non_missing_count	distinct_non_missing_count	example_values_small_sample	support_high_completeness	support_high_missingness	support_likely_high_value	support_likely_weak	shortlist_bucket	shortlist_rule	manual_review_priority	notes_placeholder
20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_drug	total_dose	27	total_dose	treatment / drug	0.677057	777	467	"[""1"", ""20"", ""3600"", ""480"", ""4800""]"	False	False	False	False	unclear_manual_review	manual_default_fallback	high	[fill in during shortlist review]
20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_drug	tx_on_clinical_trial	28	tx_on_clinical_trial	stage	0.549044	1085	2	"[""NO"", ""YES""]"	False	False	False	False	unclear_manual_review	manual_default_fallback	high	[fill in during shortlist review]
20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_follow_up_v4_0	bcr_patient_uuid	1	bcr_patient_uuid	identifier / admin	0.0	716	619	"[""23C31C2E-336C-4878-A476-CF8D811B4875"", ""28e9048a-e540-42de-a1f4-4ef894fccc4c"", ""738E1ACC-1F0C-4A96-9C8A-222727EF5AF8"", ""E3FCBF94-D3EF-4A37-AA45-5297F96AF9EB"", ""E783E518-C1E5-4EAC-8EAF-E2D65CCD9692""]"	True	False	False	False	unclear_manual_review	manual_identifier_admin	high	[fill in during shortlist review]
20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_follow_up_v4_0	bcr_patient_barcode	2	bcr_patient_barcode	identifier / admin	0.0	716	619	"[""TCGA-AR-A1AM"", ""TCGA-AR-A24Q"", ""TCGA-AR-A2LE"", ""TCGA-AR-A2LJ"", ""TCGA-S3-AA10""]"	True	False	False	False	unclear_manual_review	manual_identifier_admin	high	[fill in during shortlist review]
20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_follow_up_v4_0	bcr_followup_barcode	3	bcr_followup_barcode	identifier / admin	0.0	716	716	"[""TCGA-3C-AAAU-F68069"", ""TCGA-3C-AAAU-F71341"", ""TCGA-3C-AALI-F68057"", ""TCGA-3C-AALJ-F68060"", ""TCGA-3C-AALJ-F71675""]"	True	False	False	False	unclear_manual_review	manual_identifier_admin	high	[fill in during shortlist review]
20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_follow_up_v4_0	bcr_followup_uuid	4	bcr_followup_uuid	identifier / admin	0.0	716	716	"[""0009B079-7981-4E93-BEDA-673A97FF1137"", ""0021AB34-8C5F-451E-8B64-DF949CB50034"", ""00555AC3-B1C1-4712-A6CD-9FDF98F9D2B3"", ""00AF090C-547A-493B-9220-2FEF43822FD0"", ""01404DEF-ED7D-4186-9DC8-5FE8C812821B""]"	True	False	False	False	unclear_manual_review	manual_identifier_admin	high	[fill in during shortlist review]
20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_follow_up_v4_0	form_completion_date	5	form_completion_date	identifier / admin	0.0	716	210	"[""2013-10-2"", ""2013-3-2"", ""2015-3-30"", ""2014-12-23"", ""2015-3-9""]"	True	False	False	False	unclear_manual_review	manual_identifier_admin	high	[fill in during shortlist review]
20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_follow_up_v4_0	followup_lost_to	6	lost_follow_up	follow-up / outcome-like	0.036313	690	2	"[""NO"", ""YES""]"	True	False	True	False	usable_endpoint_candidate	endpoint_candidate_time_or_status_signal	high	[fill in during shortlist review]
20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_follow_up_v4_0	radiation_treatment_adjuvant	7	radiation_therapy	radiation	0.03352	692	2	"[""YES"", ""NO""]"	True	False	True	False	usable_treatment_proxy	treatment_proxy_treatment_signal	medium	[fill in during shortlist review]
20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_follow_up_v4_0	pharmaceutical_tx_adjuvant	8	postoperative_rx_tx	treatment / drug	0.051676	679	2	"[""YES"", ""NO""]"	True	False	True	False	usable_treatment_proxy	treatment_proxy_treatment_signal	medium	[fill in during shortlist review]
20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_follow_up_v4_0	tumor_status	9	person_neoplasm_cancer_status	follow-up / outcome-like	0.054469	677	2	"[""TUMOR FREE"", ""WITH TUMOR""]"	True	False	True	False	usable_endpoint_candidate	endpoint_candidate_time_or_status_signal	high	[fill in during shortlist review]
20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_follow_up_v4_0	vital_status	10	vital_status	follow-up / outcome-like	0.013966	706	2	"[""Alive"", ""Dead""]"	True	False	True	False	usable_endpoint_candidate	endpoint_candidate_time_or_status_signal	high	[fill in during shortlist review]
20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_follow_up_v4_0	last_contact_days_to	11	days_to_last_followup	follow-up / outcome-like	0.086592	654	551	"[""10"", ""0"", ""375"", ""396"", ""304""]"	True	False	True	False	usable_endpoint_candidate	endpoint_candidate_time_or_status_signal	high	[fill in during shortlist review]
20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_follow_up_v4_0	death_days_to	12	days_to_death	follow-up / outcome-like	0.927374	52	52	"[""0"", ""1034"", ""1048"", ""1072"", ""1093""]"	False	True	False	True	weak_or_unusable	weak_extreme_missingness	low	[fill in during shortlist review]
20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_follow_up_v4_0	new_tumor_event_dx_indicator	13	new_tumor_event_after_initial_treatment	follow-up / outcome-like	0.096369	647	2	"[""NO"", ""YES""]"	True	False	True	False	usable_endpoint_candidate	endpoint_candidate_time_or_status_signal	high	[fill in during shortlist review]
20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_patient	bcr_patient_uuid	1	bcr_patient_uuid	identifier / admin	0.0	1097	1097	"[""001cef41-ff86-4d3f-a140-a647ac4b10a1"", ""0045349c-69d9-4306-a403-c9c1fa836644"", ""00807dae-9f4a-4fd1-aac2-82eb11bf2afb"", ""00B11CA8-8540-4A3D-B602-EC754B00230B"", ""00a2d166-78c9-4687-a195-3d6315c27574""]"	True	False	False	False	unclear_manual_review	manual_identifier_admin	high	[fill in during shortlist review]
20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_patient	bcr_patient_barcode	2	bcr_patient_barcode	identifier / admin	0.0	1097	1097	"[""TCGA-3C-AAAU"", ""TCGA-3C-AALI"", ""TCGA-3C-AALJ"", ""TCGA-3C-AALK"", ""TCGA-4H-AAAK""]"	True	False	False	False	unclear_manual_review	manual_identifier_admin	high	[fill in during shortlist review]
20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_patient	form_completion_date	3	form_completion_date	identifier / admin	0.0	1097	315	"[""2011-5-27"", ""2010-11-2"", ""2011-4-13"", ""2011-8-2"", ""2011-5-16""]"	True	False	False	False	unclear_manual_review	manual_identifier_admin	high	[fill in during shortlist review]
20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_patient	prospective_collection	4	tissue_prospective_collection_indicator	identifier / admin	0.003646	1093	2	"[""NO"", ""YES""]"	True	False	False	False	unclear_manual_review	manual_identifier_admin	high	[fill in during shortlist review]
