drug_class_profile_v1_run_id	review_group_type	field_name	row_count	non_missing_count	missing_like_count	missing_like_fraction	distinct_non_missing_count	notes
20260415T065150Z	any_class_endocrine_other	ajcc_pathologic_tumor_stage	30	30	0	0.0000	8	patients where class appears in provisional_drug_class_values_json
20260415T065150Z	any_class_endocrine_other	histological_type	30	30	0	0.0000	6	patients where class appears in provisional_drug_class_values_json
20260415T065150Z	any_class_her2_targeted	age_at_diagnosis	73	73	0	0.0000	36	patients where class appears in provisional_drug_class_values_json
20260415T065150Z	any_class_her2_targeted	er_status_by_ihc	73	73	0	0.0000	2	patients where class appears in provisional_drug_class_values_json
20260415T065150Z	any_class_her2_targeted	pr_status_by_ihc	73	73	0	0.0000	2	patients where class appears in provisional_drug_class_values_json
20260415T065150Z	any_class_her2_targeted	her2_status_by_ihc	73	67	6	0.0822	4	patients where class appears in provisional_drug_class_values_json
20260415T065150Z	any_class_her2_targeted	ajcc_pathologic_tumor_stage	73	73	0	0.0000	6	patients where class appears in provisional_drug_class_values_json
20260415T065150Z	any_class_her2_targeted	histological_type	73	73	0	0.0000	3	patients where class appears in provisional_drug_class_values_json
20260415T065150Z	any_class_ancillary_supportive	age_at_diagnosis	42	42	0	0.0000	28	patients where class appears in provisional_drug_class_values_json
20260415T065150Z	any_class_ancillary_supportive	er_status_by_ihc	42	39	3	0.0714	2	patients where class appears in provisional_drug_class_values_json
20260415T065150Z	any_class_ancillary_supportive	pr_status_by_ihc	42	39	3	0.0714	2	patients where class appears in provisional_drug_class_values_json
20260415T065150Z	any_class_ancillary_supportive	her2_status_by_ihc	42	36	6	0.1429	3	patients where class appears in provisional_drug_class_values_json
20260415T065150Z	any_class_ancillary_supportive	ajcc_pathologic_tumor_stage	42	42	0	0.0000	7	patients where class appears in provisional_drug_class_values_json
20260415T065150Z	any_class_ancillary_supportive	histological_type	42	42	0	0.0000	5	patients where class appears in provisional_drug_class_values_json
