drug_class_profile_v1_run_id	review_group_type	field_name	value_summary_type	group_patient_count	non_missing_count	missing_like_count	distinct_non_missing_count	value_rank	value_label	value_count	value_fraction	numeric_min	numeric_median	numeric_max	notes
20260415T065150Z	any_class_platinum	pr_status_by_ihc	categorical_top_value	31	31	0	2	2	Positive	15	0.4839				
20260415T065150Z	any_class_platinum	her2_status_by_ihc	categorical_top_value	31	30	1	4	1	Positive	14	0.4667				
20260415T065150Z	any_class_platinum	her2_status_by_ihc	categorical_top_value	31	30	1	4	2	Equivocal	8	0.2667				
20260415T065150Z	any_class_platinum	her2_status_by_ihc	categorical_top_value	31	30	1	4	3	Negative	7	0.2333				
20260415T065150Z	any_class_platinum	her2_status_by_ihc	categorical_top_value	31	30	1	4	4	Indeterminate	1	0.0333				
20260415T065150Z	any_class_platinum	ajcc_pathologic_tumor_stage	categorical_top_value	31	31	0	8	1	Stage IIA	11	0.3548				
20260415T065150Z	any_class_platinum	ajcc_pathologic_tumor_stage	categorical_top_value	31	31	0	8	2	Stage IIB	5	0.1613				
20260415T065150Z	any_class_platinum	ajcc_pathologic_tumor_stage	categorical_top_value	31	31	0	8	3	Stage IA	4	0.1290				
20260415T065150Z	any_class_platinum	ajcc_pathologic_tumor_stage	categorical_top_value	31	31	0	8	4	Stage IIIA	4	0.1290				
20260415T065150Z	any_class_platinum	ajcc_pathologic_tumor_stage	categorical_top_value	31	31	0	8	5	Stage I	3	0.0968				
20260415T065150Z	any_class_platinum	ajcc_pathologic_tumor_stage	categorical_top_value	31	31	0	8	6	Stage IIIC	2	0.0645				
20260415T065150Z	any_class_platinum	ajcc_pathologic_tumor_stage	categorical_top_value	31	31	0	8	7	Stage IIIB	1	0.0323				
20260415T065150Z	any_class_platinum	ajcc_pathologic_tumor_stage	categorical_top_value	31	31	0	8	8	Stage II	1	0.0323				
20260415T065150Z	any_class_platinum	histological_type	categorical_top_value	31	31	0	5	1	Infiltrating Ductal Carcinoma	27	0.8710				
20260415T065150Z	any_class_platinum	histological_type	categorical_top_value	31	31	0	5	2	Metaplastic Carcinoma	1	0.0323				
20260415T065150Z	any_class_platinum	histological_type	categorical_top_value	31	31	0	5	3	Other, specify	1	0.0323				
20260415T065150Z	any_class_platinum	histological_type	categorical_top_value	31	31	0	5	4	Mixed Histology (please specify)	1	0.0323				
20260415T065150Z	any_class_platinum	histological_type	categorical_top_value	31	31	0	5	5	Infiltrating Lobular Carcinoma	1	0.0323				
20260415T065150Z	any_class_antimetabolite	age_at_diagnosis	numeric_summary	122	122	0	44					28	57	82	
20260415T065150Z	any_class_antimetabolite	er_status_by_ihc	categorical_top_value	122	105	17	2	1	Positive	70	0.6667				
20260415T065150Z	any_class_antimetabolite	er_status_by_ihc	categorical_top_value	122	105	17	2	2	Negative	35	0.3333				
20260415T065150Z	any_class_antimetabolite	pr_status_by_ihc	categorical_top_value	122	104	18	2	1	Positive	66	0.6346				
20260415T065150Z	any_class_antimetabolite	pr_status_by_ihc	categorical_top_value	122	104	18	2	2	Negative	38	0.3654				
20260415T065150Z	any_class_antimetabolite	her2_status_by_ihc	categorical_top_value	122	97	25	4	1	Negative	61	0.6289				
20260415T065150Z	any_class_antimetabolite	her2_status_by_ihc	categorical_top_value	122	97	25	4	2	Positive	21	0.2165				
20260415T065150Z	any_class_antimetabolite	her2_status_by_ihc	categorical_top_value	122	97	25	4	3	Equivocal	14	0.1443				
20260415T065150Z	any_class_antimetabolite	her2_status_by_ihc	categorical_top_value	122	97	25	4	4	Indeterminate	1	0.0103				
20260415T065150Z	any_class_antimetabolite	ajcc_pathologic_tumor_stage	categorical_top_value	122	122	0	9	1	Stage IIA	39	0.3197				
20260415T065150Z	any_class_antimetabolite	ajcc_pathologic_tumor_stage	categorical_top_value	122	122	0	9	2	Stage IIB	30	0.2459				
20260415T065150Z	any_class_antimetabolite	ajcc_pathologic_tumor_stage	categorical_top_value	122	122	0	9	3	Stage IIIA	21	0.1721				
20260415T065150Z	any_class_antimetabolite	ajcc_pathologic_tumor_stage	categorical_top_value	122	122	0	9	4	Stage IIIC	13	0.1066				
20260415T065150Z	any_class_antimetabolite	ajcc_pathologic_tumor_stage	categorical_top_value	122	122	0	9	5	Stage I	8	0.0656				
20260415T065150Z	any_class_antimetabolite	ajcc_pathologic_tumor_stage	categorical_top_value	122	122	0	9	6	Stage IA	4	0.0328				
20260415T065150Z	any_class_antimetabolite	ajcc_pathologic_tumor_stage	categorical_top_value	122	122	0	9	7	Stage IV	3	0.0246				
20260415T065150Z	any_class_antimetabolite	ajcc_pathologic_tumor_stage	categorical_top_value	122	122	0	9	8	Stage IIIB	3	0.0246				
20260415T065150Z	any_class_antimetabolite	ajcc_pathologic_tumor_stage	categorical_top_value	122	122	0	9	9	Stage X	1	0.0082				
20260415T065150Z	any_class_antimetabolite	histological_type	categorical_top_value	122	122	0	5	1	Infiltrating Ductal Carcinoma	89	0.7295				
20260415T065150Z	any_class_antimetabolite	histological_type	categorical_top_value	122	122	0	5	2	Infiltrating Lobular Carcinoma	18	0.1475				
20260415T065150Z	any_class_antimetabolite	histological_type	categorical_top_value	122	122	0	5	3	Mixed Histology (please specify)	9	0.0738				
20260415T065150Z	any_class_antimetabolite	histological_type	categorical_top_value	122	122	0	5	4	Other, specify	4	0.0328				
