treatment_groups_descriptive_v1_run_id	treatment_group_v1	field_name	value_summary_type	group_patient_count	non_missing_count	missing_like_count	distinct_non_missing_count	value_rank	value_label	value_count	value_fraction	numeric_min	numeric_median	numeric_max	notes
20260414T215230Z	single_hormone_therapy	ajcc_pathologic_tumor_stage	categorical_top_value	189	188	1	10	7	Stage IIIC	5	0.0265				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	single_hormone_therapy	ajcc_pathologic_tumor_stage	categorical_top_value	189	188	1	10	8	Stage IB	2	0.0106				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	single_hormone_therapy	ajcc_pathologic_tumor_stage	categorical_top_value	189	188	1	10	9	Stage IV	2	0.0106				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	single_hormone_therapy	ajcc_pathologic_tumor_stage	categorical_top_value	189	188	1	10	10	Stage X	2	0.0106				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	single_hormone_therapy	histological_type	categorical_top_value	189	189	0	5	1	Infiltrating Ductal Carcinoma	112	0.5926				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	single_hormone_therapy	histological_type	categorical_top_value	189	189	0	5	2	Infiltrating Lobular Carcinoma	57	0.3016				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	single_hormone_therapy	histological_type	categorical_top_value	189	189	0	5	3	Other, specify	12	0.0635				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	single_hormone_therapy	histological_type	categorical_top_value	189	189	0	5	4	Mixed Histology (please specify)	4	0.0212				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	single_hormone_therapy	histological_type	categorical_top_value	189	189	0	5	5	Mucinous Carcinoma	4	0.0212				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	single_ancillary_or_other	age_at_diagnosis	numeric_summary	3	3	0	3					40	59	80	Age summary uses non-missing values only.
20260414T215230Z	single_ancillary_or_other	er_status_by_ihc	categorical_top_value	3	3	0	2	1	Positive	2	0.6667				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	single_ancillary_or_other	er_status_by_ihc	categorical_top_value	3	3	0	2	2	Negative	1	0.3333				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	single_ancillary_or_other	pr_status_by_ihc	categorical_top_value	3	3	0	2	1	Negative	2	0.6667				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	single_ancillary_or_other	pr_status_by_ihc	categorical_top_value	3	3	0	2	2	Positive	1	0.3333				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	single_ancillary_or_other	her2_status_by_ihc	categorical_top_value	3	3	0	2	1	Negative	2	0.6667				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	single_ancillary_or_other	her2_status_by_ihc	categorical_top_value	3	3	0	2	2	Positive	1	0.3333				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	single_ancillary_or_other	ajcc_pathologic_tumor_stage	categorical_top_value	3	3	0	3	1	Stage IIA	1	0.3333				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	single_ancillary_or_other	ajcc_pathologic_tumor_stage	categorical_top_value	3	3	0	3	2	Stage IIB	1	0.3333				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	single_ancillary_or_other	ajcc_pathologic_tumor_stage	categorical_top_value	3	3	0	3	3	Stage IIIC	1	0.3333				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	single_ancillary_or_other	histological_type	categorical_top_value	3	3	0	2	1	Infiltrating Ductal Carcinoma	2	0.6667				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	single_ancillary_or_other	histological_type	categorical_top_value	3	3	0	2	2	Other, specify	1	0.3333				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	mixed_multi_type	age_at_diagnosis	numeric_summary	355	355	0	50					26	53	84	Age summary uses non-missing values only.
20260414T215230Z	mixed_multi_type	er_status_by_ihc	categorical_top_value	355	338	17	2	1	Positive	308	0.8676				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	mixed_multi_type	er_status_by_ihc	categorical_top_value	355	338	17	2	2	Negative	30	0.0845				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	mixed_multi_type	pr_status_by_ihc	categorical_top_value	355	338	17	2	1	Positive	264	0.7437				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	mixed_multi_type	pr_status_by_ihc	categorical_top_value	355	338	17	2	2	Negative	74	0.2085				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	mixed_multi_type	her2_status_by_ihc	categorical_top_value	355	315	40	4	1	Negative	180	0.5070				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	mixed_multi_type	her2_status_by_ihc	categorical_top_value	355	315	40	4	2	Equivocal	71	0.2000				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	mixed_multi_type	her2_status_by_ihc	categorical_top_value	355	315	40	4	3	Positive	59	0.1662				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	mixed_multi_type	her2_status_by_ihc	categorical_top_value	355	315	40	4	4	Indeterminate	5	0.0141				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	mixed_multi_type	ajcc_pathologic_tumor_stage	categorical_top_value	355	351	4	12	1	Stage IIA	102	0.2873				Showing the top 10 values out of 12 distinct non-missing values.
20260414T215230Z	mixed_multi_type	ajcc_pathologic_tumor_stage	categorical_top_value	355	351	4	12	2	Stage IIB	101	0.2845				Showing the top 10 values out of 12 distinct non-missing values.
