audit_run_id	parse_run_id	source_run_id	table_name	field_name	source_position	probable_field_group	row_count	non_missing_count	missing_like_count	missing_like_fraction	blank_count	not_available_count	not_applicable_count	unknown_count	not_evaluated_count	discrepancy_count	na_count	n_a_count	null_count	none_count	nan_count	distinct_non_missing_count	example_values_small_sample
20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_follow_up_v4_0	followup_lost_to	6	follow-up / outcome-like	716	690	26	0.036313	0	26	0	0	0	0	0	0	0	0	0	2	"[""NO"", ""YES""]"
20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_follow_up_v4_0	radiation_treatment_adjuvant	7	radiation	716	692	24	0.03352	0	11	0	12	0	1	0	0	0	0	0	2	"[""YES"", ""NO""]"
20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_follow_up_v4_0	vital_status	10	follow-up / outcome-like	716	706	10	0.013966	0	10	0	0	0	0	0	0	0	0	0	2	"[""Alive"", ""Dead""]"
20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_follow_up_v4_0	bcr_patient_uuid	1	identifier / admin	716	716	0	0.0	0	0	0	0	0	0	0	0	0	0	0	619	"[""23C31C2E-336C-4878-A476-CF8D811B4875"", ""28e9048a-e540-42de-a1f4-4ef894fccc4c"", ""738E1ACC-1F0C-4A96-9C8A-222727EF5AF8"", ""E3FCBF94-D3EF-4A37-AA45-5297F96AF9EB"", ""E783E518-C1E5-4EAC-8EAF-E2D65CCD9692""]"
20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_follow_up_v4_0	bcr_patient_barcode	2	identifier / admin	716	716	0	0.0	0	0	0	0	0	0	0	0	0	0	0	619	"[""TCGA-AR-A1AM"", ""TCGA-AR-A24Q"", ""TCGA-AR-A2LE"", ""TCGA-AR-A2LJ"", ""TCGA-S3-AA10""]"
20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_follow_up_v4_0	bcr_followup_barcode	3	identifier / admin	716	716	0	0.0	0	0	0	0	0	0	0	0	0	0	0	716	"[""TCGA-3C-AAAU-F68069"", ""TCGA-3C-AAAU-F71341"", ""TCGA-3C-AALI-F68057"", ""TCGA-3C-AALJ-F68060"", ""TCGA-3C-AALJ-F71675""]"
20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_follow_up_v4_0	bcr_followup_uuid	4	identifier / admin	716	716	0	0.0	0	0	0	0	0	0	0	0	0	0	0	716	"[""0009B079-7981-4E93-BEDA-673A97FF1137"", ""0021AB34-8C5F-451E-8B64-DF949CB50034"", ""00555AC3-B1C1-4712-A6CD-9FDF98F9D2B3"", ""00AF090C-547A-493B-9220-2FEF43822FD0"", ""01404DEF-ED7D-4186-9DC8-5FE8C812821B""]"
20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_follow_up_v4_0	form_completion_date	5	identifier / admin	716	716	0	0.0	0	0	0	0	0	0	0	0	0	0	0	210	"[""2013-10-2"", ""2013-3-2"", ""2015-3-30"", ""2014-12-23"", ""2015-3-9""]"
20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_patient	nte_er_positivity_other_scale	72	receptor / biomarker	1097	0	1097	1.0	0	1097	0	0	0	0	0	0	0	0	0	0	[]
20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_patient	nte_er_positivity_define_method	73	receptor / biomarker	1097	0	1097	1.0	0	1097	0	0	0	0	0	0	0	0	0	0	[]
20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_patient	nte_pr_positivity_other_scale	77	receptor / biomarker	1097	0	1097	1.0	0	1097	0	0	0	0	0	0	0	0	0	0	[]
20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_patient	nte_pr_positivity_define_method	78	receptor / biomarker	1097	0	1097	1.0	0	1097	0	0	0	0	0	0	0	0	0	0	[]
20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_patient	nte_her2_positivity_other_scale	82	receptor / biomarker	1097	0	1097	1.0	0	1097	0	0	0	0	0	0	0	0	0	0	[]
20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_patient	nte_her2_positivity_method	83	receptor / biomarker	1097	0	1097	1.0	0	1097	0	0	0	0	0	0	0	0	0	0	[]
20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_patient	nte_her2_signal_number	85	receptor / biomarker	1097	0	1097	1.0	0	1097	0	0	0	0	0	0	0	0	0	0	[]
20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_patient	nte_cent_17_signal_number	86	receptor / biomarker	1097	0	1097	1.0	0	1097	0	0	0	0	0	0	0	0	0	0	[]
20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_patient	her2_cent17_counted_cells_count	87	receptor / biomarker	1097	0	1097	1.0	0	1097	0	0	0	0	0	0	0	0	0	0	[]
20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_patient	nte_cent17_her2_other_scale	89	receptor / biomarker	1097	0	1097	1.0	0	1097	0	0	0	0	0	0	0	0	0	0	[]
20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_patient	nte_her2_fish_define_method	90	receptor / biomarker	1097	0	1097	1.0	0	1097	0	0	0	0	0	0	0	0	0	0	[]
20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_patient	clinical_M	92	stage	1097	0	1097	1.0	0	0	1097	0	0	0	0	0	0	0	0	0	[]
20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_patient	clinical_N	93	stage	1097	0	1097	1.0	0	0	1097	0	0	0	0	0	0	0	0	0	[]
20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_patient	clinical_T	94	stage	1097	0	1097	1.0	0	1097	0	0	0	0	0	0	0	0	0	0	[]
20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_patient	clinical_stage	95	stage	1097	0	1097	1.0	0	0	1097	0	0	0	0	0	0	0	0	0	[]
20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_patient	days_to_patient_progression_free	97	follow-up / outcome-like	1097	0	1097	1.0	0	1097	0	0	0	0	0	0	0	0	0	0	[]
20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_patient	days_to_tumor_progression	98	follow-up / outcome-like	1097	0	1097	1.0	0	1097	0	0	0	0	0	0	0	0	0	0	[]
20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_patient	extranodal_involvement	100	other / unclear	1097	0	1097	1.0	0	0	1097	0	0	0	0	0	0	0	0	0	[]
20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_patient	site_of_primary_tumor_other	109	diagnosis / pathology	1097	0	1097	1.0	0	0	1097	0	0	0	0	0	0	0	0	0	[]
20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_patient	stage_other	110	stage	1097	0	1097	1.0	0	1097	0	0	0	0	0	0	0	0	0	0	[]
20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_patient	nte_er_ihc_intensity_score	71	receptor / biomarker	1097	1	1096	0.999088	0	1096	0	0	0	0	0	0	0	0	0	1	"[""3+""]"
20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_patient	nte_pr_ihc_intensity_score	76	receptor / biomarker	1097	1	1096	0.999088	0	1096	0	0	0	0	0	0	0	0	0	1	"[""1+""]"
20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_patient	nte_cent_17_her2_ratio	88	receptor / biomarker	1097	2	1095	0.998177	0	1095	0	0	0	0	0	0	0	0	0	2	"[""1.09"", ""2.47""]"
20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_patient	nte_her2_status_ihc__positive	80	receptor / biomarker	1097	3	1094	0.997265	0	1094	0	0	0	0	0	0	0	0	0	1	"[""<10%""]"
20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_patient	nte_her2_fish_status	84	receptor / biomarker	1097	3	1094	0.997265	0	999	0	0	95	0	0	0	0	0	0	1	"[""Negative""]"
20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_patient	her2_and_cent17_scale_other	66	receptor / biomarker	1097	4	1093	0.996354	0	1093	0	0	0	0	0	0	0	0	0	4	"[""1"", "">2.2 Positive"", ""HER2 amplification - negative"", ""Vysis AutoVysion System""]"
20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_patient	nte_pr_status_ihc__positive	75	receptor / biomarker	1097	4	1093	0.996354	0	1093	0	0	0	0	0	0	0	0	0	1	"[""<10%""]"
20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_patient	nte_her2_positivity_ihc_score	81	receptor / biomarker	1097	5	1092	0.995442	0	1092	0	0	0	0	0	0	0	0	0	2	"[""1+"", ""2+""]"
20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_patient	disease_code	99	identifier / admin	1097	5	1092	0.995442	0	1092	0	0	0	0	0	0	0	0	0	1	"[""FPPP""]"
20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_patient	project_code	108	identifier / admin	1097	5	1092	0.995442	0	1092	0	0	0	0	0	0	0	0	0	1	"[""TCGA""]"
20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_patient	nte_er_status_ihc__positive	70	receptor / biomarker	1097	6	1091	0.994531	0	1091	0	0	0	0	0	0	0	0	0	3	"[""70-79%"", ""90-99%"", ""<10%""]"
20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_patient	metastasis_site_other	43	diagnosis / pathology	1097	7	1090	0.993619	0	1090	0	0	0	0	0	0	0	0	0	6	"[""skin"", ""Abdomen"", ""Ovary"", ""Skin"", ""axilaary node negative but intrammary node positive""]"
20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_patient	nte_her2_status	79	receptor / biomarker	1097	9	1088	0.991796	0	997	0	0	91	0	0	0	0	0	0	2	"[""Negative"", ""Equivocal""]"
20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_patient	nte_pr_status_by_ihc	74	receptor / biomarker	1097	11	1086	0.989973	0	999	0	0	87	0	0	0	0	0	0	2	"[""Negative"", ""Positive""]"
20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_patient	nte_er_status	69	receptor / biomarker	1097	12	1085	0.989061	0	999	0	0	86	0	0	0	0	0	0	2	"[""Positive"", ""Negative""]"
20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_patient	surgery_for_positive_margins_other	28	diagnosis / pathology	1097	14	1083	0.987238	0	0	1083	0	0	0	0	0	0	0	0	14	"[""Additional resection/ margins (taken after first margin positive)"", ""Left breast reexcision"", ""Margin resection"", ""Mastectomy"", ""Re-Excision of Superior Margin""]"
20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_patient	her2_positivity_scale_other	59	receptor / biomarker	1097	14	1083	0.987238	0	1083	0	0	0	0	0	0	0	0	0	7	"[""0"", ""ACIS"", ""CISH"", ""Hercep Test  TM Dako"", ""10-75%""]"
20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_patient	axillary_staging_method_other	31	diagnosis / pathology	1097	20	1077	0.981768	0	1077	0	0	0	0	0	0	0	0	0	19	"[""mastectomy with TLND"", ""FNA plus axillary lymph node dissection"", ""Level 1 clearance"", ""Pateys surgery"", ""SLN AND NON-SLN BX""]"
20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_patient	metastasis_site	42	diagnosis / pathology	1097	24	1073	0.978122	0	1073	0	0	0	0	0	0	0	0	0	9	"[""Bone"", ""Bone|Liver"", ""Other, specify"", ""Liver"", ""Lung""]"
20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_patient	her2_fish_method	67	receptor / biomarker	1097	50	1047	0.954421	0	1047	0	0	0	0	0	0	0	0	0	30	"["">=2.0 Positive"", ""PathVysion HER-2 DNA Probe Kit"", ""CAP scoring guideline 2010"", ""RATIO > = 2.0"", "">= 2.0 Positive""]"
20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_patient	surgery_for_positive_margins	27	diagnosis / pathology	1097	55	1042	0.949863	0	991	0	1	50	0	0	0	0	0	0	4	"[""Mastectomy NOS"", ""Modified radical mastectomy"", ""Other"", ""Lumpectomy""]"
